marka_kodu,tip_kodu,marka_adi,tip_adi
3,210,ALFA ROMEO,MITO 1.4 TB (155) DISTINCTIVE 3 KAPI
3,212,ALFA ROMEO,MITO 1.6 JTD (120) DISTINCTIVE 3 KAPI
3,215,ALFA ROMEO,159 1.8 TBI (200) NEW DISTINCTIVE PLUS
3,216,ALFA ROMEO,MITO 1.4 TB MULTIAIR 170 QUAD.VERDE 3K
3,217,ALFA ROMEO,GIULIETTA 1.4 TB 120 PROGRESSION PLUS
3,218,ALFA ROMEO,GIULIETTA 1.4 TB 120 DISTINCTIVE
3,219,ALFA ROMEO,GIULIETTA 1.4 TB MULTIAIR 170 DISTINCTIVE
3,220,ALFA ROMEO,GIULIETTA 1.6 JTD 105 PROGRESSION PLUS
3,221,ALFA ROMEO,GIULIETTA 1.6 JTD 105 DISTINCTIVE
3,222,ALFA ROMEO,GIULIETTA 1.750 TB 235 QUAGRIFOGLIO VERDE
3,224,ALFA ROMEO,MITO 1.4 TB MULTIAIR (135) TCT CITY
3,225,ALFA ROMEO,MITO 1.4 TB MULTIAIR (135) TCT SPORTIVO
3,226,ALFA ROMEO,MITO 1.4 TB MULTIAR (135) TCT
3,1001,ALFA ROMEO,GIULIETTA 1.4 TB M.AIR 170 TCT PROG.PLU
3,1002,ALFA ROMEO,GIULIETTA 1.4 TB M.AIR 170 TCT DISTINCTIVE
3,1003,ALFA ROMEO,GIULIETTA 1.4 TB MULTIAIR (170)
3,1004,ALFA ROMEO,MITO 1.3 JTD (95) CITY
3,1005,ALFA ROMEO,4C LAUNCH EDITION 1.750 TB 240 TCT
3,1007,ALFA ROMEO,GIULIETTA 1.8 TBI 240 TCT QV
3,1008,ALFA ROMEO,MITO 1.3 JTD (85) CITY
3,1012,ALFA ROMEO,MITO 1.4 170 3 KAPI QV TCT S2
3,1013,ALFA ROMEO,GIULIETTA  1.6 JTD 120 PROGRESSION
3,1014,ALFA ROMEO,GIULIETTA 1.6 JTDM 120 PROGRESSION TCT
3,1015,ALFA ROMEO,GIULIETTA 1.6 JTDM 120 SUPER TCT
3,1016,ALFA ROMEO,GIULIETTA 1.4 TB MULTIAIR  170 SUPER TCT
3,1017,ALFA ROMEO,GIULIETTA 1.8 TBI 240 VELOCE TCT
3,1018,ALFA ROMEO,4C 1.8 240 TCT
3,1019,ALFA ROMEO,4C SPIDER 1.8 240 TCT
3,1020,ALFA ROMEO,GIULIETTA 1.6 JTD 120 SUPER
3,1021,ALFA ROMEO,GIULIA 2.0 200 SUPER RWD AT
3,1022,ALFA ROMEO,GIULIA 2.0 280 VELOCE AWD AT
3,1023,ALFA ROMEO,GIULIA 2.9 510 QV RWD AT
3,1024,ALFA ROMEO,STELVIO 2.0 280 AWD AT
3,1026,ALFA ROMEO,GIULIA 2.0 200 SPRINT RWD AT
3,1027,ALFA ROMEO,STELVIO 2.0 200 SPRINT AWD AT
3,1028,ALFA ROMEO,STELVIO 2.0 280 VELOCE AWD AT
3,1029,ALFA ROMEO,GIULIETTA 1.6 JTD 120 SPRINT TCT
3,1030,ALFA ROMEO,GIULIETTA 1.6 JTD 120 TI TCT
3,1031,ALFA ROMEO,GIULIETTA 1.6 JTD TCT
3,1032,ALFA ROMEO,STEVIO QUADRIFOGLIO 2.9 (510)
3,1033,ALFA ROMEO,TONALE EDIZIONE SPECIALE 1.5 HYBRID 160 DCT
3,1034,ALFA ROMEO,GIULIA 2.0 280 ESTREMA AWD AT
3,1035,ALFA ROMEO,STELVIO 2.0 280 ESTREMA AWD AT
3,1036,ALFA ROMEO,TONALE TI 1.6 DIESEL 130 DCT
3,1037,ALFA ROMEO,TONALE SPRINT 1.6 DIESEL 130 DCT
3,1038,ALFA ROMEO,TONALE TI 1.5 HYBRID 160 TCT
3,1039,ALFA ROMEO,TONALE VELOCE 1.5 HYBRID 160 TCT
3,1040,ALFA ROMEO,GIULIA 2.0 280 LUSSO AWD AT
3,1041,ALFA ROMEO,STELVIO 2.0 280 LUSSO AWD AT
