marka_kodu,tip_kodu,arac_yili,kasko_degeri,veri_yili,veri_ay
3,210,2012,513536,2026,6
3,212,2012,537697,2026,6
3,215,2012,696325,2026,6
3,216,2013,611718,2026,6
3,216,2012,588864,2026,6
3,217,2015,726955,2026,6
3,217,2014,600737,2026,6
3,217,2013,577983,2026,6
3,217,2012,516254,2026,6
3,218,2012,613043,2026,6
3,219,2013,679395,2026,6
3,219,2012,640834,2026,6
3,220,2015,773173,2026,6
3,220,2014,697220,2026,6
3,220,2013,656551,2026,6
3,220,2012,602552,2026,6
3,221,2015,820171,2026,6
3,221,2014,766337,2026,6
3,221,2013,694900,2026,6
3,221,2012,647615,2026,6
3,222,2013,992385,2026,6
3,222,2012,883202,2026,6
3,224,2013,607079,2026,6
3,224,2012,516445,2026,6
3,225,2013,607079,2026,6
3,225,2012,516445,2026,6
3,226,2012,516445,2026,6
3,1001,2013,736788,2026,6
3,1001,2012,649749,2026,6
3,1002,2015,995287,2026,6
3,1002,2014,828644,2026,6
3,1002,2013,820358,2026,6
3,1002,2012,812804,2026,6
3,1003,2012,564389,2026,6
3,1004,2014,588864,2026,6
3,1004,2013,562945,2026,6
3,1004,2012,514850,2026,6
3,1005,2015,2611196,2026,6
3,1005,2014,2082842,2026,6
3,1007,2015,1442374,2026,6
3,1007,2014,1312079,2026,6
3,1008,2015,524100,2026,6
3,1008,2014,459509,2026,6
3,1012,2015,808580,2026,6
3,1013,2018,879393,2026,6
3,1013,2017,869191,2026,6
3,1013,2016,836722,2026,6
3,1013,2015,769786,2026,6
3,1014,2018,1112598,2026,6
3,1014,2017,1016245,2026,6
3,1014,2016,978294,2026,6
3,1015,2019,1270864,2026,6
3,1015,2018,1258156,2026,6
3,1015,2017,1155960,2026,6
3,1015,2016,1019924,2026,6
3,1016,2018,1201840,2026,6
3,1016,2017,1088043,2026,6
3,1016,2016,1045823,2026,6
3,1017,2016,1575776,2026,6
3,1018,2017,3874122,2026,6
3,1018,2016,3240290,2026,6
3,1019,2017,4042763,2026,6
3,1019,2016,3499045,2026,6
3,1020,2017,1008879,2026,6
3,1020,2016,971211,2026,6
3,1021,2018,2283228,2026,6
3,1021,2017,2229835,2026,6
3,1022,2022,3628729,2026,6
3,1022,2021,3041729,2026,6
3,1022,2020,3011311,2026,6
3,1022,2019,2981197,2026,6
3,1022,2018,2973321,2026,6
3,1022,2017,2816836,2026,6
3,1022,2016,2535150,2026,6
3,1023,2018,5712513,2026,6
3,1023,2017,5307841,2026,6
3,1023,2016,4957468,2026,6
3,1024,2018,2835065,2026,6
3,1024,2017,2790116,2026,6
3,1026,2022,3341025,2026,6
3,1026,2021,2800565,2026,6
3,1026,2020,2507932,2026,6
3,1027,2022,3638018,2026,6
3,1027,2021,3049512,2026,6
3,1027,2020,2727847,2026,6
3,1028,2022,3879973,2026,6
3,1028,2021,3252325,2026,6
3,1028,2020,3041414,2026,6
3,1029,2020,1387457,2026,6
3,1030,2020,1411595,2026,6
3,1031,2020,1188888,2026,6
3,1032,2018,5463960,2026,6
3,1033,2022,1796485,2026,6
3,1034,2022,3720785,2026,6
3,1035,2022,3473177,2026,6
3,1036,2025,3349797,2026,6
3,1036,2024,2278257,2026,6
3,1036,2023,1894216,2026,6
3,1036,2022,1708887,2026,6
3,1037,2023,1483121,2026,6
3,1037,2022,1468290,2026,6
3,1038,2023,1863375,2026,6
3,1038,2022,1678231,2026,6
3,1039,2024,2789067,2026,6
3,1039,2023,2311001,2026,6
3,1039,2022,2101915,2026,6
3,1040,2022,3369521,2026,6
3,1041,2022,3667412,2026,6
3,1042,2023,4118479,2026,6
3,1043,2023,3732959,2026,6
3,1044,2023,4080868,2026,6
3,1045,2023,4485192,2026,6
3,1046,2023,2926893,2026,6
3,1047,2023,13874362,2026,6
3,1048,2023,12294352,2026,6
3,1049,2024,2549539,2026,6
3,1050,2025,2786965,2026,6
3,1050,2024,2497200,2026,6
3,1051,2024,3085629,2026,6
3,1052,2024,2962166,2026,6
3,1053,2024,3526152,2026,6
3,1054,2025,1784146,2026,6
3,1054,2024,1560074,2026,6
3,1055,2025,2166651,2026,6
3,1055,2024,1725199,2026,6
3,1056,2025,2024317,2026,6
3,1056,2024,1675597,2026,6
3,1057,2025,2286702,2026,6
3,1057,2024,1883929,2026,6
3,1058,2026,3727000,2026,6
3,1059,2026,2474300,2026,6
3,1060,2026,2668200,2026,6
8,101,2012,7138914,2026,6
8,1001,2012,7347120,2026,6
8,1002,2012,5345815,2026,6
8,1003,2016,11749032,2026,6
8,1003,2015,11056033,2026,6
8,1003,2014,9098728,2026,6
8,1003,2013,6550100,2026,6
8,1003,2012,5663706,2026,6
8,1004,2014,11773142,2026,6
8,1004,2013,10962283,2026,6
8,1004,2012,8905313,2026,6
8,1005,2014,10759053,2026,6
8,1005,2013,10071036,2026,6
8,1005,2012,8105075,2026,6
8,1006,2015,12551977,2026,6
8,1006,2014,10133152,2026,6
8,1006,2013,9503952,2026,6
8,1006,2012,7891091,2026,6
8,1007,2014,12546288,2026,6
8,1007,2013,11503328,2026,6
8,1007,2012,9217004,2026,6
8,1008,2016,7920517,2026,6
8,1008,2015,6944057,2026,6
8,1008,2014,6080828,2026,6
8,1008,2013,5714047,2026,6
8,1008,2012,5096429,2026,6
8,1009,2015,7884491,2026,6
8,1009,2014,7036658,2026,6
8,1009,2013,6849057,2026,6
8,1009,2012,5719855,2026,6
8,1010,2017,8906074,2026,6
8,1010,2016,7262849,2026,6
8,1010,2015,6573112,2026,6
8,1010,2014,6231465,2026,6
8,1010,2013,5831699,2026,6
8,1010,2012,5227357,2026,6
8,1011,2017,11272203,2026,6
8,1011,2016,9521917,2026,6
8,1011,2015,8527241,2026,6
8,1011,2014,7415804,2026,6
8,1011,2013,7174744,2026,6
8,1011,2012,5852066,2026,6
8,1012,2015,8689435,2026,6
