"SF_MARKA","SF_MODEL","SF_VERSIYON","TSB_TIP_ADI"
"TOYOTA","C-HR","Flame 1.8 Hybrid e-CVT","(TSB'de bulunamadı)"
"TOYOTA","C-HR","Passion 1.8 Hibrit e-CVT","(TSB'de bulunamadı)"
"TOYOTA","C-HR","GR Sport 1.8 Hybrid e-CVT","(TSB'de bulunamadı)"
"TOYOTA","Corolla Cross","Passion X-Pack 1.8 Hybrid e-CVT","(TSB'de bulunamadı)"
"TOYOTA","Corolla HB","Hybrid Flame 1.8L Hybrid e-CVT","(TSB'de bulunamadı)"
"TOYOTA","Corolla HB","Hybrid Passion X-Pack 1.8L Hybrid e-CVT","(TSB'de bulunamadı)"
"TOYOTA","Proace Max Kamyonet","L4 Kasalı M/T 2.2 D 140 HP MT","(TSB'de bulunamadı)"
"TOYOTA","Proace Max","L3H2 13m³ 2.2 D 140 HP M/T","(TSB'de bulunamadı)"
"TOYOTA","Proace Max","L4H3 17m³ 2.2 D 180 HP M/T","(TSB'de bulunamadı)"
"VOLKSWAGEN","T-Roc","Yeni Life 1.5 eTSI ACT 150 PS DSG","(TSB'de bulunamadı)"
"VOLKSWAGEN","T-Roc","Yeni Style 1.5 eTSI ACT 150 PS DSG","(TSB'de bulunamadı)"
"VOLKSWAGEN","T-Roc","Yeni R-Line 1.5 eTSI ACT 150 PS DSG","(TSB'de bulunamadı)"
"VOLKSWAGEN","Yeni T-Cross","Life  1.0 TSI 116 PS Manuel","(TSB'de bulunamadı)"
"VOLKSWAGEN","Yeni T-Cross","Life  1.0 TSI 116 PS DSG","(TSB'de bulunamadı)"
"VOLKSWAGEN","Yeni T-Cross","Style  1.0 TSI 116 PS DSG","(TSB'de bulunamadı)"
"VOLKSWAGEN","Yeni T-Cross","R-Line  1.0 TSI 116 PS DSG","(TSB'de bulunamadı)"
"VOLKSWAGEN","Tayron","Life 1.5 eTSI ACT 150 PS (7 koltuklu) DSG","(TSB'de bulunamadı)"
"VOLKSWAGEN","Tayron","Elegance 1.5 eTSI ACT 150 PS (7 koltuklu) DSG","(TSB'de bulunamadı)"
"VOLKSWAGEN","Tayron","R-Line 1.5 eTSI ACT 150 PS (7 koltuklu) DSG","(TSB'de bulunamadı)"
"VOLKSWAGEN","Transporter","City Van (5+1) / Camlı Van (4+1) 2.0 TDI Standart Şasi 150 PS Otomatik","(TSB'de bulunamadı)"
"VOLKSWAGEN","Transporter","City Van (5+1) / Camlı Van (4+1) 2.0 TDI Uzun Şasi 150 PS Otomatik","(TSB'de bulunamadı)"
"VOLKSWAGEN","Caravelle","Style  2.0 TDI (8+1) Uzun Şasi 170 PS Otomatik 4Motion","(TSB'de bulunamadı)"
"VOLKSWAGEN","ID.7","Pro S  210 kW/86 kWh 286 PS Otomatik","(TSB'de bulunamadı)"
"VOLKSWAGEN","ID. Buzz","Pro 4+1 Standart Şasi 286 PS","(TSB'de bulunamadı)"
"VOLKSWAGEN","Transporter Panelvan","Panel Van 2.0 TDI 2+1 Uzun Şasi 170PS Otomatik","(TSB'de bulunamadı)"
"VOLKSWAGEN","ID.Buzz Cargo","Cargo (2+1) Standart Şasi 286PS","(TSB'de bulunamadı)"
"VOLKSWAGEN","Crafter Panelvan","Comfortline 2.0 TDI (1+1) LWB HR 177 PS 3,88 T","(TSB'de bulunamadı)"
