"MARKA","TSB_MODEL","SIFIR_MODEL","KAYNAK","MASTER_MODEL_ADI"
"ADRIA","ADRIA SONIC SUPREME","","TSB",""
"ADRIA","COMPACT","","TSB",""
"ADRIA","CORAL S670 SLT MOTOKARAVAN","","TSB",""
"ADRIA","CORAL XL","","TSB",""
"ADRIA","MATRIX","","TSB",""
"ADRIA","MATRIX AXESS","","TSB",""
"ADRIA","MATRIX SUPREME 670DC MOTOKARAVAN","","TSB",""
"ADRIA","SONIC","","TSB",""
"ADRIA","SUPERSONIC","","TSB",""
"ADRIA","TWIN SUPREME","","TSB",""
"AKIA","AKIA ULTRA DD CIFT KATLI OTOBUS","","TSB",""
"AKIA","ULTRA LF12 OTOBUS","","TSB",""
"AKIA","ULTRA LF9 OTOBUS","","TSB",""
"ALFA ROMEO","159","","TSB",""
"ALFA ROMEO","4C","","TSB",""
"ALFA ROMEO","4C LAUNCH","","TSB",""
"ALFA ROMEO","4C SPIDER","","TSB",""
"ALFA ROMEO","GIULIA","","TSB",""
"ALFA ROMEO","GIULIA MCA","","TSB",""
"ALFA ROMEO","GIULIETTA","","TSB",""
"ALFA ROMEO","JUNIOR ELETTRICA 115KW (156)","","TSB",""
"ALFA ROMEO","JUNIOR ELETTRICA SPECIALE 115KW (156)","","TSB",""
"ALFA ROMEO","JUNIOR ELETTRICA SPECIALE+ 115KW (156)","","TSB",""
"ALFA ROMEO","JUNIOR IBRIDA","","TSB",""
"ALFA ROMEO","","Junior İbrida","SIFIR",""
"ALFA ROMEO","JUNIOR IBRIDA SPECIALE","","TSB",""
"ALFA ROMEO","JUNIOR IBRIDA SPECIALE+","","TSB",""
"ALFA ROMEO","","Junıor Elettrıca","SIFIR",""
"ALFA ROMEO","MITO","","TSB",""
"ALFA ROMEO","STELVIO","","TSB",""
"ALFA ROMEO","STELVIO MCA","","TSB",""
"ALFA ROMEO","STEVIO QUADRIFOGLIO","","TSB",""
"ALFA ROMEO","","Tonale","HER İKİSİ",""
"ALFA ROMEO","TONALE EDIZIONE SPECIALE","","TSB",""
"ALFA ROMEO","TONALE SPECIALE","","TSB",""
"ALFA ROMEO","TONALE SPRINT","","TSB",""
"ALFA ROMEO","TONALE TI","","TSB",""
"ALFA ROMEO","TONALE TRIBUTO","","TSB",""
"ALFA ROMEO","TONALE VELOCE","","TSB",""
"ALKE","ATX330E ELEKTRIKLI COP TOPLAMA KAMYONETI","","TSB",""
"ALKE","ATX340ED CIFT KABIN ELEKTRIKLI COP KAMYONETI","","TSB",""
"ALKE","ATX340ED CIFTKABINDAMPERLIELEKTRIKLI KAMYONET","","TSB",""
"ALPINE","A","","TSB",""
"ALPINE","A110","","TSB",""
"ALPINE","A290","","TSB",""
"ASTON MARTIN","CG","","TSB",""
"ASTON MARTIN","DB11","","TSB",""
"ASTON MARTIN","DB11 AMR","","TSB",""
"ASTON MARTIN","DB11 V8 VOLANTE","","TSB",""
"ASTON MARTIN","DB12","","TSB",""
"ASTON MARTIN","DB12 VOLANTE","","TSB",""
"ASTON MARTIN","DB9","","TSB",""
"ASTON MARTIN","DB9 VOLANTE","","TSB",""
"ASTON MARTIN","DB9 VOLANTE TOUCHTRONIC","","TSB",""
"ASTON MARTIN","DBS","","TSB",""
"ASTON MARTIN","DBS SUPERLEGGERA","","TSB",""
"ASTON MARTIN","DBX","","TSB",""
"ASTON MARTIN","RAPIDE","","TSB",""
"ASTON MARTIN","RAPIDE AMR","","TSB",""
"ASTON MARTIN","RAPIDE TOUCHTRONIC","","TSB",""
"ASTON MARTIN","V12 VANTAGE","","TSB",""
"ASTON MARTIN","V8 VANTAGE","","TSB",""
"ASTON MARTIN","V8 VANTAGE SPORTSHIFT","","TSB",""
"ASTON MARTIN","V8 VANTAGE SPORTSHIFT ROADSTER","","TSB",""
"ASTON MARTIN","VANQUISH","","TSB",""
"ASTON MARTIN","VANTAGE","","TSB",""
"ASTON MARTIN","VANTAGE F1","","TSB",""
"ASTON MARTIN","VANTAGE ROADSTAR","","TSB",""
"ASTON MARTIN","VIRAGE","","TSB",""
"ASTON MARTIN","VIRAGE VOLANTE TOUCHTRONIC","","TSB",""
"ASTRA","KAMYON HD9","","TSB",""
"AUDI","A1","","TSB",""
"AUDI","A1 SPORTBACK","","TSB",""
"AUDI","A3","","TSB",""
"AUDI","A3 ALLSTREET","A3 Allstreet","HER İKİSİ",""
"AUDI","A3 CABRIOLET","","TSB",""
"AUDI","","A3 Sedan","HER İKİSİ",""
"AUDI","A3 SPORTBACK","A3 Sportback","HER İKİSİ",""
"AUDI","A3 SPORTBACK 1.0TFSI","","TSB",""
"AUDI","A3 SPORTBACK 1.4TFSI","","TSB",""
"AUDI","A3 SPORTBACK 1.4TFSI150 DESIGNLINE STRONIC PI","","TSB",""
"AUDI","A3 SPORTBACK 1.6TDI","","TSB",""
"AUDI","A4","","TSB",""
"AUDI","A4 AVANT","","TSB",""
"AUDI","A4 AVANT40 TDI","","TSB",""
"AUDI","A5","","TSB",""
"AUDI","A5 AVANT","A5 Avant","HER İKİSİ",""
"AUDI","A5 CABRIOLET","","TSB",""
"AUDI","A5 CABROLET","","TSB",""
"AUDI","","A5 Sedan","HER İKİSİ",""
"AUDI","A5 SPORTBACK","","TSB",""
"AUDI","A5 SPORTBACK 2.0TDI","","TSB",""
"AUDI","A5 SPORTBACK 2.0TFSI","","TSB",""
"AUDI","A5 SPORTBACK 40TDI","","TSB",""
"AUDI","A5SPORTBACK 40TDI","","TSB",""
"AUDI","A5SPORTBACK 45TFSI","","TSB",""
"AUDI","A6","","TSB",""
"AUDI","A6 AVANT","","TSB",""
"AUDI","A6 AVANT E-TRON","A6 Avant e-tron","HER İKİSİ",""
"AUDI","A6 AVANT E-TRON PERFORMANCE","","TSB",""
"AUDI","","A6 Sedan","HER İKİSİ",""
"AUDI","A6 SPORTBACK E-TRON","A6 Sportback e-tron","HER İKİSİ",""
"AUDI","A6 SPORTBACK E-TRON PERFORMANCE","","TSB",""
"AUDI","A7 SPORTBACK","","TSB",""
"AUDI","A8","","TSB",""
"AUDI","A8 L","A8 L","HER İKİSİ",""
"AUDI","A8 L W12","","TSB",""
"AUDI","A8L","","TSB",""
"AUDI","E-TRON","","TSB",""
"AUDI","E-TRON ADVANCED","","TSB",""
"AUDI","","E-tron GT Quattro","SIFIR",""
"AUDI","E-TRON SLINE","","TSB",""
"AUDI","E-TRON SPORTBACK ADVANCED","","TSB",""
"AUDI","E-TRON SPORTBACK SLINE","","TSB",""
